model_name_list,detail_link,detail_url,rent_yn,list_price_wan,model_name,price_wan,rent_yn_detail,support_money_wan,monthly_rent_wan,remain_months,year_month,mileage_km,fuel_type,transmission,color,displacement_cc,reg_date
기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD 그래비티,/mycar/mycar_view.php?no=2229617&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2229617&gubun=K,True,250.0,기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD 그래비티,250.0,True,250.0,76.0,60 / 60,2024.05,3500.0,가솔린 하이브리드,자동,흰색,1598.0,
기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD 노블레스,/mycar/mycar_view.php?no=2242915&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2242915&gubun=K,True,250.0,기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD 노블레스,250.0,True,250.0,62.0,60 / 60,2025.02,2000.0,가솔린 하이브리드,자동,흰색,1598.0,
기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD  그래비티,/mycar/mycar_view.php?no=2251077&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2251077&gubun=K,True,200.0,기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD  그래비티,200.0,True,200.0,64.0,59 / 60,2025.07 (26년형),1800.0,가솔린 하이브리드,자동,흰색,1598.0,
기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD  노블레스,/mycar/mycar_view.php?no=2255808&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255808&gubun=K,True,200.0,기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD  노블레스,200.0,True,200.0,57.0,60 / 60,2025.12 (26년형),1600.0,가솔린 하이브리드,자동,검정색,1598.0,
기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD  시그니처,/mycar/mycar_view.php?no=2256613&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256613&gubun=K,False,3900.0,기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD  시그니처,3900.0,False,,,,2022.07,33450.0,가솔린 하이브리드,자동,흰색,1598.0,
기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD  시그니처,/mycar/mycar_view.php?no=2256485&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256485&gubun=K,False,3690.0,기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD  시그니처,3690.0,False,,,,2022.10 (23년형),43604.0,가솔린 하이브리드,자동,진회색,1598.0,
기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD  그래비티,/mycar/mycar_view.php?no=2257281&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257281&gubun=K,False,3690.0,기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD  그래비티,3690.0,False,,,,2022.05,38312.0,가솔린 하이브리드,자동,흰색,1598.0,
기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD  노블레스,/mycar/mycar_view.php?no=2252584&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2252584&gubun=K,True,250.0,기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD  노블레스,250.0,True,250.0,62.0,48 / 59,2024.10 (25년형),15000.0,가솔린 하이브리드,자동,흰색,1598.0,
기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 4WD 시그니처,/mycar/mycar_view.php?no=2256183&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256183&gubun=K,False,4050.0,기아 쏘렌토 4세대 하이브리드  1.6 터보 HEV 4WD 시그니처,4050.0,False,,,,2023.01,37680.0,가솔린 하이브리드,자동,흰색,1598.0,
기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD 그래비티,/mycar/mycar_view.php?no=2257240&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257240&gubun=K,False,3490.0,기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD 그래비티,3490.0,False,,,,2022.11 (23년형),73500.0,가솔린 하이브리드,자동,흰색,1598.0,
