용도코드,용도명,차종코드,차종명,규모코드,규모명,연도코드,연도,연식구간코드,연식구간명,지표코드,지표명,값
0001,전체,0001,합계,0003,중형,Y2024 2024,,0020,4년 이하,M0010,검사대수,1383188.0
0001,전체,0001,합계,0003,중형,Y2024 2024,,0020,4년 이하,M0011,부적합률,8.88
0001,전체,0001,합계,0003,중형,Y2024 2024,,0030,5~6년,M0010,검사대수,471640.0
0001,전체,0001,합계,0003,중형,Y2024 2024,,0030,5~6년,M0011,부적합률,12.1
0001,전체,0001,합계,0003,중형,Y2024 2024,,0040,7~8년,M0010,검사대수,945322.0
0001,전체,0001,합계,0003,중형,Y2024 2024,,0040,7~8년,M0011,부적합률,15.25
0001,전체,0001,합계,0003,중형,Y2024 2024,,0050,9~10년,M0010,검사대수,940727.0
0001,전체,0001,합계,0003,중형,Y2024 2024,,0050,9~10년,M0011,부적합률,21.79
0001,전체,0001,합계,0003,중형,Y2024 2024,,0060,11~12년,M0010,검사대수,872943.0
0001,전체,0001,합계,0003,중형,Y2024 2024,,0060,11~12년,M0011,부적합률,28.0
0001,전체,0001,합계,0003,중형,Y2024 2024,,0070,13~14년,M0010,검사대수,753069.0
0001,전체,0001,합계,0003,중형,Y2024 2024,,0070,13~14년,M0011,부적합률,31.29
0001,전체,0001,합계,0003,중형,Y2024 2024,,0080,15년 이상,M0010,검사대수,1178310.0
0001,전체,0001,합계,0003,중형,Y2024 2024,,0080,15년 이상,M0011,부적합률,32.52
0001,전체,0001,합계,0003,중형,Y2024 2024,,0090,기타,M0010,검사대수,3.0
0001,전체,0001,합계,0003,중형,Y2024 2024,,0090,기타,M0011,부적합률,66.67
0001,전체,0001,합계,0004,대형,Y2024 2024,,0010,합계,M0010,검사대수,3479035.0
0001,전체,0001,합계,0004,대형,Y2024 2024,,0010,합계,M0011,부적합률,16.81
0001,전체,0001,합계,0004,대형,Y2024 2024,,0020,4년 이하,M0010,검사대수,974510.0
