model_name_list,detail_link,detail_url,rent_yn,list_price_wan,model_name,price_wan,rent_yn_detail,support_money_wan,acquisition_cost_wan,monthly_rent_wan,remain_months,total_months,remain_months_text,year_month,mileage_km,fuel_type,transmission,color,displacement_cc,reg_date,gubun,maker_no,group_no,detail_no,maker_name,group_name,detail_name,fuel_efficiency,drivetrain_type
현대 아반떼AD 1.6 디젤  스마트 스페셜,/mycar/mycar_view.php?no=2255991&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255991&gubun=K,False,840.0,현대 아반떼AD 1.6 디젤  스마트 스페셜,840.0,False,,,,,,,2016.09,53843.0,디젤,자동,파란색,1582.0,,K,49,22,1668,현대,아반떼,아반떼AD (15~18년),18.4,FF
현대 아반떼AD 1.6 밸류 플러스,/mycar/mycar_view.php?no=2256860&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256860&gubun=K,False,790.0,현대 아반떼AD  1.6 밸류 플러스,790.0,False,,,,,,,2018.04,160000.0,가솔린,자동,흰색,1591.0,,K,49,22,1668,현대,아반떼,아반떼AD (15~18년),13.1,FF
현대 아반떼AD 1.6 터보 스포츠 익스트림 셀렉션,/mycar/mycar_view.php?no=2254304&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2254304&gubun=K,False,1190.0,현대 아반떼AD  1.6 터보 스포츠 익스트림 셀렉션,1190.0,False,,,,,,,2017.04 (18년형),118955.0,가솔린,자동,검정색,1591.0,,K,49,22,1668,현대,아반떼,아반떼AD (15~18년),12.0,FF
현대 아반떼AD 1.6 터보 스포츠 M/T,/mycar/mycar_view.php?no=2249977&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2249977&gubun=K,False,830.0,현대 아반떼AD  1.6 터보 스포츠 M/T,830.0,False,,,,,,,2017.06 (18년형),143000.0,가솔린,수동,흰색 (베이지 랩핑),1591.0,,K,49,22,1668,현대,아반떼,아반떼AD (15~18년),11.6,FF
현대 더 뉴 아반떼 1.6 모던,/mycar/mycar_view.php?no=2253055&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2253055&gubun=K,False,490.0,현대 더 뉴 아반떼  1.6 모던,490.0,False,,,,,,,2013.11 (14년형),139621.0,가솔린,자동,흰색,1591.0,,K,49,22,1598,현대,아반떼,더 뉴 아반떼 (13~15년),14.0,FF
현대 더 뉴 아반떼 1.6 스마트,/mycar/mycar_view.php?no=2254862&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2254862&gubun=K,False,790.0,현대 더 뉴 아반떼  1.6 스마트,790.0,False,,,,,,,2015.09 (16년형),29900.0,가솔린,자동,흰색,1591.0,,K,49,22,1598,현대,아반떼,더 뉴 아반떼 (13~15년),13.7,FF
현대 더 뉴 아반떼 1.6 모던,/mycar/mycar_view.php?no=2248981&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2248981&gubun=K,False,680.0,현대 더 뉴 아반떼  1.6 모던,680.0,False,,,,,,,2015.07 (16년형),99000.0,가솔린,자동,기타색상,1591.0,,K,49,22,1598,현대,아반떼,더 뉴 아반떼 (13~15년),13.7,FF
현대 아반떼MD 1.6 M16 럭셔리,/mycar/mycar_view.php?no=2255875&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255875&gubun=K,False,269.0,현대 아반떼MD 1.6 M16 럭셔리,269.0,False,,,,,,,2011.09 (12년형),146618.0,가솔린,자동,검정색,1591.0,,K,49,22,1254,현대,아반떼,아반떼MD (10~14년),,FF
현대 아반떼MD 1.6  M16 프리미어,/mycar/mycar_view.php?no=2255917&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255917&gubun=K,False,410.0,현대 아반떼MD 1.6  M16 프리미어,410.0,False,,,,,,,2010.11 (11년형),137365.0,가솔린,자동,검정색,1591.0,,K,49,22,1254,현대,아반떼,아반떼MD (10~14년),16.5,FF
현대 아반떼MD 1.6 M16 탑,/mycar/mycar_view.php?no=2256525&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256525&gubun=K,False,390.0,현대 아반떼MD 1.6 M16 탑,390.0,False,,,,,,,2011.10 (12년형),127592.0,가솔린,자동,흰색,1591.0,,K,49,22,1254,현대,아반떼,아반떼MD (10~14년),16.5,FF
현대 아반떼MD 1.6 M16 에비뉴,/mycar/mycar_view.php?no=2252752&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2252752&gubun=K,False,490.0,현대 아반떼MD  1.6 M16 에비뉴,490.0,False,,,,,,,2013.06 (14년형),165931.0,가솔린,자동,흰색,1591.0,,K,49,22,1254,현대,아반떼,아반떼MD (10~14년),13.9,FF
현대 아반떼MD 1.6 M16 에비뉴,/mycar/mycar_view.php?no=2248977&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2248977&gubun=K,False,550.0,현대 아반떼MD  1.6 M16 에비뉴,550.0,False,,,,,,,2013.01,143000.0,가솔린,자동,흰색,1591.0,,K,49,22,1254,현대,아반떼,아반떼MD (10~14년),13.9,FF
현대 아반떼HD 1.6 S16 프리미어,/mycar/mycar_view.php?no=2256647&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256647&gubun=K,False,410.0,현대 아반떼HD 1.6 S16 프리미어,410.0,False,,,,,,,2007.02,55012.0,가솔린,자동,은색,1591.0,,K,49,22,839,현대,아반떼,아반떼HD (06~10년),13.8,FF
현대 쏠라티 2.5 디젤 15인승  럭셔리,/mycar/mycar_view.php?no=2256189&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256189&gubun=K,True,146.0,현대 쏠라티 2.5 디젤 15인승  럭셔리,,True,,146.0,146.0,36.0,60.0,36 / 60,2024.01,21000.0,디젤,자동,흰색,2497.0,,K,49,870,1684,현대,쏠라티,쏠라티 (15년~현재),,AWD
