brand,model,year,price_krw,mileage_km,fuel_type,transmission,body_type,displacement_cc,link
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 7인승  그래비티,2025,3000000.0,6000,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2255810&gubun=K
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 9인승 노블레스,2025,2500000.0,1850,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2247008&gubun=K
현대,기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD 시그니처,2025,3000000.0,1580,가솔린 하이브리드,자동,,1598230,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2247320&gubun=K
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 9인승 그래비티,2024,3000000.0,15000,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2246848&gubun=K
현대,기아 K8 하이브리드 1.6 터보 HEV 시그니처,2025,2500000.0,1500,가솔린 하이브리드,자동,,1598230,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2244212&gubun=K
현대,기아 디 올 뉴 스포티지 하이브리드 1.6 터보 HEV 시그니처 그래비티,2023,2500000.0,12000,가솔린 하이브리드,자동,,1598230,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2226862&gubun=K
현대,기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD 그래비티,2024,3000000.0,1500,가솔린 하이브리드,자동,,1598230,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2226846&gubun=K
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 7인승 그래비티,2024,2500000.0,2800,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2226850&gubun=K
현대,기아 디 올 뉴 스포티지 1.6 터보 2WD 노블레스,2022,2500000.0,48000,가솔린,자동,,1598180,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2226867&gubun=K
현대,기아 카니발 4세대 3.5 가솔린 9인승 하이리무진 시그니처,2024,2500000.0,2550,가솔린 하이브리드,자동,,1598294,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2227209&gubun=K
