model_name,model_code,model_volume,maker_code,origin
스포츠트랙,504,0,42,I
쿠가,872,0,42,I
토러스,499,0,42,I
트랜짓,907,1,42,I
파이브 헌드레드,500,0,42,I
퓨전,498,0,42,I
포커스,497,0,42,I
프리스타일,503,0,42,I
피에스타,1233,0,42,I
에어로스타,1234,0,42,I
이코노밴,1235,0,42,I
엣지,1236,0,42,I
프로브,1237,0,42,I
플렉스,495,0,42,I
기타,1238,0,42,I
사우바나,891,0,1008,I
툰랜드,860,0,1008,I
아오마크,1230,0,1008,I
그랑프리,681,0,45,I
그랜드엠,682,0,45,I
솔스티스,683,0,45,I
트랜스앰,684,0,45,I
파이어버드,685,0,45,I
G8,1085,0,45,I
보네빌,1226,0,45,I
선파이어,1227,0,45,I
트랜스포트,687,0,45,I
피에로,1228,0,45,I
기타,1229,0,45,I
폴스타 2,1241,1,1019,I
폴스타 4,1296,0,1019,I
107,545,0,46,I
1007,546,0,46,I
206,548,0,46,I
207,549,0,46,I
208,768,0,46,I
2008,827,2,46,I
306,550,0,46,I
307,552,0,46,I
308,553,1,46,I
3008,554,1,46,I
405,555,0,46,I
406,556,0,46,I
407,557,0,46,I
408,1276,0,46,I
505,558,0,46,I
508,559,0,46,I
5008,753,0,46,I
604,560,0,46,I
605,561,0,46,I
607,562,0,46,I
806,563,0,46,I
807,564,0,46,I
익스퍼트 티피,810,0,46,I
파트너 티피,754,0,46,I
RCZ,565,0,46,I
라티고 CS,456,0,91,I
트라몬토,457,0,91,I
124,933,0,47,I
128,979,0,47,I
500,674,3,47,I
600,790,0,47,I
두카토,1266,2,47,I
바르게타,675,0,47,I
쿠페,676,0,47,I
판다 4×4,678,0,47,I
푼토,679,0,47,I
프리몬트,799,0,47,I
멀티피아,680,0,47,I
H1,280,4,48,I
H2,281,3,48,I
H3,282,5,48,I
CR-V,517,0,50,I
CR-Z,516,0,50,I
CRX 델솔,694,0,50,I
HR-V,921,0,50,I
N-BOX,836,0,50,I
N-ONE,826,0,50,I
NSX,521,1,50,I
S660,858,0,50,I
S2000,520,1,50,I
댓츠,696,0,50,I
레전드,519,0,50,I
리지라인,688,0,50,I
비트,695,0,50,I
스텝왜건,1254,0,50,I
시빅,515,2,50,I
어코드,518,1,50,I
에딕스,771,0,50,I
엘리먼트,689,0,50,I
오딧세이,690,0,50,I
인사이트,514,0,50,I
인테그라,691,0,50,I
크로스로드,692,0,50,I
크로스투어,800,0,50,I
프렐류드,693,0,50,I
파일럿,857,0,50,I
휘트,513,0,50,I
패스포트,1208,0,50,I
UTE,661,0,76,I
모나로,662,0,76,I
바리나,663,0,76,I
스테이츠맨,664,0,76,I
에피카,665,0,76,I
카프라이스,666,0,76,I
칼라이스,667,0,76,I
캡티바,668,0,76,I
코모도어,669,0,76,I
콜로라도,670,0,76,I
콤보,671,0,76,I
크루즈,672,0,76,I
트럭,934,0,1012,I
전기차,1068,1,4,I
희소차량,651,3,4,I
캠핑카,652,0,4,I
캠핑 트레일러,864,8,4,I
-,831,1,4,I
