model_name,model_code,model_volume,maker_code,origin
S클래스,358,142,21,I
마이바흐 S클래스,359,56,21,I
마이바흐 SL클래스,1331,0,21,I
마이바흐 GLS클래스,1074,39,21,I
GLA클래스,817,1,21,I
GLB클래스,1065,8,21,I
GLC클래스,876,18,21,I
GLE클래스,873,18,21,I
GLK클래스,360,1,21,I
GLS클래스,889,17,21,I
GL클래스,361,1,21,I
G클래스 (G바겐),362,63,21,I
M클래스,363,0,21,I
AMG GT,842,17,21,I
R클래스,364,1,21,I
V클래스,365,12,21,I
스프린터,366,35,21,I
유니목,1060,0,21,I
EQA,1087,0,21,I
EQB,1249,2,21,I
EQC,1007,1,21,I
EQE,1262,0,21,I
EQS,1111,0,21,I
EQE SUV,1274,1,21,I
EQS SUV,1268,2,21,I
마이바흐 EQS SUV,1295,2,21,I
SLK클래스,368,0,21,I
SL클래스,370,11,21,I
CL클래스,381,0,21,I
SLC클래스,906,0,21,I
SLS AMG,371,4,21,I
SLR 맥라렌,372,0,21,I
SEL/SEC,380,3,21,I
L319,382,0,21,I
190,375,2,21,I
220,1255,0,21,I
280,959,0,21,I
600,1062,0,21,I
악트로스,1124,0,21,I
아록스,1125,0,21,I
아테고,1126,0,21,I
기타,1123,1,21,I
718,901,20,43,I
911,250,113,43,I
박스터,248,1,43,I
카이맨,249,0,43,I
카레라 GT,253,0,43,I
마칸,829,11,43,I
카이엔,251,70,43,I
타이칸,1053,19,43,I
파나메라,252,47,43,I
356,856,0,43,I
928,1156,0,43,I
944,1157,0,43,I
959,254,0,43,I
968,1158,0,43,I
1시리즈,342,2,1,I
2시리즈,814,3,1,I
3시리즈,343,16,1,I
4시리즈,809,9,1,I
5시리즈,344,32,1,I
6시리즈,345,3,1,I
7시리즈,346,21,1,I
8시리즈,347,8,1,I
그란투리스모 (GT),348,6,1,I
1M,1017,0,1,I
M2,1018,4,1,I
M3,1019,8,1,I
M4,1020,5,1,I
M5,1021,4,1,I
M6,1022,0,1,I
M8,1023,2,1,I
M 쿠페/로드스터,1024,0,1,I
X3 M,1025,0,1,I
X4 M,1026,1,1,I
X5 M,1027,2,1,I
X6 M,1028,3,1,I
XM,1271,1,1,I
X1,1011,1,1,I
